Sex,Age,Year,Month,Day,Street_Number,Birthday,Surname,City,Street,State_Voted,State,Name
Female,76,1944,9,20,74,1944-9-20,Winters,Santa Clarita,First,Texas,California,Isabella
Male,56,1964,11,16,91,1964-11-16,Mclaughlin,Tulsa,Cedar,Oklahoma,Oklahoma,Jeremy
Male,24,1996,3,10,29,1996-3-10,Farmer,Laredo,Fourth,Texas,Texas,Andrew
Female,38,1982,4,27,45,1982-4-27,Marsh,Durham,Maple,North Carolina,North Carolina,Grace
Male,57,1963,2,11,91,1963-2-11,Garrison,Naperville,Ninth,Illinois,Illinois,Justin
Male,61,1959,6,2,42,1959-6-2,Zamora,Jacksonville,Maple,Florida,Florida,Scott
Female,82,1938,12,7,65,1938-12-7,Knowles,Bridgeport,Oak,Connecticut,Connecticut,Janice
Male,63,1957,2,20,19,1957-2-20,Williams,Birmingham,Oak,Alabama,Alabama,Billy
Female,70,1950,9,20,18,1950-9-20,Sanchez,Eugene,Main,Oregon,Oregon,Susan
Male,88,1932,8,10,62,1932-8-10,Riggs,Metairie,Fifth,Louisiana,Louisiana,Nathan
Female,76,1944,2,9,94,1944-2-9,Langley,Ontario,Fifth,California,California,Abigail
Female,76,1944,7,8,3,1944-7-8,Carver,Jacksonville,Sixth,Florida,Florida,Martha
Female,38,1982,5,30,46,1982-5-30,Fitzgerald,El Paso,Maple,Texas,Texas,Mary
Female,25,1995,6,3,41,1995-6-3,Burgess,Philadelphia,Maple,Pennsylvania,Pennsylvania,Amanda
Female,58,1962,12,6,18,1962-12-6,Mullen,Sunrise Manor,Main,Nevada,Nevada,Jacqueline
Male,41,1979,5,8,85,1979-5-8,Bennett,Indianapolis,Cedar,Indiana,Indiana,Ralph
Female,64,1956,6,21,52,1956-6-21,Mathis,Sioux Falls,Second,South Dakota,South Dakota,Natalie
Male,26,1994,6,10,75,1994-6-10,Langley,Anaheim,Pine,California,California,Nathan
Male,37,1983,9,14,12,1983-9-14,Lopez,Columbus,Eighth,Ohio,Ohio,Carl
Male,40,1980,12,10,7,1980-12-10,Ratliff,Honolulu,Sixth,Hawaii,Hawaii,Douglas
Female,80,1940,5,6,48,1940-5-6,Ballard,Scottsdale,Seventh,Arizona,Arizona,Kathryn
Female,70,1950,4,8,97,1950-4-8,Page,Chandler,Washington,Arizona,Arizona,Amanda
Female,84,1936,4,2,79,1936-4-2,Lancaster,Oakland,Elm,California,California,Rose
Male,63,1957,9,26,10,1957-9-26,Kirk,Metairie,Ninth,Louisiana,Louisiana,Zachary
Female,33,1987,3,24,69,1987-3-24,Mcfadden,Mobile,Ninth,Alabama,Alabama,Margaret
Male,21,1999,2,27,4,1999-2-27,Daniels,Charlotte,Ninth,North Carolina,North Carolina,Timothy
Female,82,1938,4,7,80,1938-4-7,Holmes,Akron,Pine,Ohio,Ohio,Sophia
Female,18,2002,6,10,26,2002-6-10,Calderon,Winston-Salem,Fourth,North Carolina,North Carolina,Diana
